Ticker,P/E,ROE %,D/E,Price,50D Avg,200D Avg
ABT,17.51,30.6,27.1,134.8,129.87,120.83
ALL,14.29,19.7,36.7,209.06,200.03,192.42
FOXA,13.88,16.6,68.3,56.08,51.65,47.25
FOX,12.83,16.6,68.3,51.85,47.9,44.11
HIG,13.07,18.5,25.9,131.12,120.81,115.82
MOH,15.72,26.7,87.4,325.34,323.81,317.41
NEM,11.41,16.7,25.4,50.1,49.95,47.36
PGR,19.3,34.3,23.8,286.03,276.07,256.33
SNA,17.36,19.5,23.5,331.73,323.91,322.59
TRV,14.9,16.1,28.5,273.63,259.13,245.89
UBER,16.08,69.4,48.6,91.79,76.47,72.63
WRB,17.0,20.7,34.3,73.28,68.22,61.5
